date,price,address,street,locality,settlement,postcode,postcode_district,category,property_type,new_build,tenure,district,settlement_zone,in_search_geography,residential_comparable,exclusion_reason,txn_id,url
2024-06-26,550000,"14, MOWBRAY GARDENS, WEST BRIDGFORD, NOTTINGHAM, NG2 6JN",MOWBRAY GARDENS,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6JN,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D4B1-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D4B1-9EB1-E063-4704A8C09D02/current
2024-06-28,2000000,"165, MUSTERS ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7AF",MUSTERS ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7AF,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,25E9DA81-3528-555E-E063-4704A8C066F2,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-3528-555E-E063-4704A8C066F2/current
2024-07-01,1320000,"177A, MELTON ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6JL",MELTON ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6JL,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D430-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D430-9EB1-E063-4704A8C09D02/current
2024-07-02,575000,"2, WASDALE CLOSE, WEST BRIDGFORD, NOTTINGHAM, NG2 6RG",WASDALE CLOSE,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6RG,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D5EF-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D5EF-9EB1-E063-4704A8C09D02/current
2024-07-02,789500,"8, LONGLANDS DRIVE, WEST BRIDGFORD, NOTTINGHAM, NG2 6SR",LONGLANDS DRIVE,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6SR,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D612-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D612-9EB1-E063-4704A8C09D02/current
2024-07-03,1100000,"52A, RECTORY ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6BU",RECTORY ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6BU,NG2,B,Other,no,freehold,RUSHCLIFFE,nottingham_urban,no,no,category_B_not_full_market_value; non_residential_type_O,3B5CE842-A125-EE3A-E063-4804A8C0D6F1,http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-A125-EE3A-E063-4804A8C0D6F1/current
2024-07-05,815000,"6A, TAUNTON ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6EW",TAUNTON ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6EW,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D76D-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D76D-9EB1-E063-4704A8C09D02/current
2024-07-08,625000,"14, GLEBE ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6DS",GLEBE ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6DS,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D48E-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D48E-9EB1-E063-4704A8C09D02/current
2024-07-08,835000,"7, DEVONSHIRE ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6EU",DEVONSHIRE ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6EU,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D755-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D755-9EB1-E063-4704A8C09D02/current
2024-07-08,605000,"59, NORTH ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7NG",NORTH ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7NG,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D5A9-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D5A9-9EB1-E063-4704A8C09D02/current
2024-07-08,800000,"103, MUSTERS ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7PX",MUSTERS ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7PX,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,2131FCF6-51C6-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-51C6-86E8-E063-4804A8C0372B/current
2024-07-11,575000,"17, CROSBY ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 5GG",CROSBY ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 5GG,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,25E9DA81-345D-555E-E063-4704A8C066F2,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-345D-555E-E063-4704A8C066F2/current
2024-07-17,1427000,"114, LOUGHBOROUGH ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7JE",LOUGHBOROUGH ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7JE,NG2,B,Other,no,freehold,RUSHCLIFFE,nottingham_urban,no,no,category_B_not_full_market_value; non_residential_type_O,2ACACE8D-9725-295E-E063-4804A8C0B0EB,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8D-9725-295E-E063-4804A8C0B0EB/current
2024-07-19,660000,"20, GERTRUDE ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 5BY",GERTRUDE ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 5BY,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,2131FCF6-5720-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-5720-86E8-E063-4804A8C0372B/current
2024-07-19,737500,"27, WILLIAM ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7QD",WILLIAM ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7QD,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,25E9DA81-34AC-555E-E063-4704A8C066F2,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-34AC-555E-E063-4704A8C066F2/current
2024-07-19,635000,"41, CRANBERRY CLOSE, WEST BRIDGFORD, NOTTINGHAM, NG2 7TQ",CRANBERRY CLOSE,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7TQ,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,2131FCF6-5307-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-5307-86E8-E063-4804A8C0372B/current
2024-07-22,725000,"32, DAVIES ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 5JD",DAVIES ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 5JD,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,1EAE3DF6-D7C7-9EB1-E063-4704A8C09D02,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-D7C7-9EB1-E063-4704A8C09D02/current
2024-07-24,585000,"7, HIGHFIELD ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6DR",HIGHFIELD ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6DR,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,2859C1AC-51A4-52B4-E063-4804A8C05948,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-51A4-52B4-E063-4804A8C05948/current
