date,price,address,street,locality,settlement,postcode,postcode_district,category,property_type,new_build,tenure,district,settlement_zone,in_search_geography,residential_comparable,exclusion_reason,txn_id,url
2019-10-22,775000,"THORPE HOUSE, RECTORY LANE, ADDLETHORPE, SKEGNESS, PE24 4TH",RECTORY LANE,ADDLETHORPE,ADDLETHORPE,PE24 4TH,PE24,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,98C75472-0071-72E9-E053-6B04A8C042F0,http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-0071-72E9-E053-6B04A8C042F0/current
2021-12-03,575000,"ADDLETHORPE HOUSE, ORBY ROAD, ADDLETHORPE, SKEGNESS, PE24 4TL",ORBY ROAD,ADDLETHORPE,ADDLETHORPE,PE24 4TL,PE24,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,D707E535-81C7-0AD9-E053-6B04A8C067CC,http://landregistry.data.gov.uk/data/ppi/transaction/D707E535-81C7-0AD9-E053-6B04A8C067CC/current
2022-11-11,1349998,"POPLAR FARM, CHAPEL LANE, ADDLETHORPE, SKEGNESS, PE24 4TG",CHAPEL LANE,ADDLETHORPE,ADDLETHORPE,PE24 4TG,PE24,B,Other,no,freehold,EAST LINDSEY,coastal_out,no,no,category_B_not_full_market_value; non_residential_type_O,FD226036-923D-4CB7-E053-4804A8C00430,http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-923D-4CB7-E053-4804A8C00430/current
2023-01-06,570000,"ROSELYN, MILL LANE, ADDLETHORPE, SKEGNESS, PE24 4TB",MILL LANE,ADDLETHORPE,ADDLETHORPE,PE24 4TB,PE24,B,Other,no,freehold,EAST LINDSEY,coastal_out,no,no,category_B_not_full_market_value; non_residential_type_O,2ACACE8D-8FD1-295E-E063-4804A8C0B0EB,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8D-8FD1-295E-E063-4804A8C0B0EB/current
2017-07-19,750000,"33, WEST STREET, ALFORD, ALFORD, LN13 9DQ",WEST STREET,,ALFORD,LN13 9DQ,LN13,B,Other,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value; non_residential_type_O,6B32222C-FB2C-01F1-E053-6C04A8C0D2C8,http://landregistry.data.gov.uk/data/ppi/transaction/6B32222C-FB2C-01F1-E053-6C04A8C0D2C8/current
2018-05-16,2500000,"BRIDGEWAYS, WILLOUGHBY ROAD, ALFORD, ALFORD, LN13 9AT",WILLOUGHBY ROAD,,ALFORD,LN13 9AT,LN13,B,Detached,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value,6DA0844A-B909-30F2-E053-6B04A8C05F3B,http://landregistry.data.gov.uk/data/ppi/transaction/6DA0844A-B909-30F2-E053-6B04A8C05F3B/current
2022-12-20,568000,"THE OLD STATION BUILDING, STATION ROAD, ALFORD, ALFORD, LN13 9JA",STATION ROAD,,ALFORD,LN13 9JA,LN13,B,Other,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value; non_residential_type_O,0E082197-72C9-5C09-E063-4704A8C0A10E,http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-72C9-5C09-E063-4704A8C0A10E/current
2023-09-22,600000,"15, PARK LANE, ALFORD, ALFORD, LN13 9DN",PARK LANE,,ALFORD,LN13 9DN,LN13,A,Detached,no,freehold,EAST LINDSEY,town,no,yes,,1061746E-20EC-3C34-E063-4804A8C0F9E7,http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-20EC-3C34-E063-4804A8C0F9E7/current
2024-03-28,710000,"1, HARWICK COURT, BEECHINGS WAY, ALFORD, ALFORD, LN13 9BU",BEECHINGS WAY,,ALFORD,LN13 9BU,LN13,B,Other,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value; non_residential_type_O,2131FCF6-D7DF-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-D7DF-86E8-E063-4804A8C0372B/current
2024-11-01,700000,"26, STATION ROAD, ALFORD, ALFORD, LN13 9JB",STATION ROAD,,ALFORD,LN13 9JB,LN13,A,Detached,no,freehold,EAST LINDSEY,town,no,yes,,4C1B673F-51BE-D8EA-E063-4704A8C0BF7D,http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-51BE-D8EA-E063-4704A8C0BF7D/current
2026-01-28,775000,"NORTHOLME, NORTH END, ALVINGHAM, LOUTH, LN11 0QH",NORTH END,ALVINGHAM,ALVINGHAM,LN11 0QH,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,4C1B673F-51AE-D8EA-E063-4704A8C0BF7D,http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-51AE-D8EA-E063-4704A8C0BF7D/current
2026-02-18,580000,"SPRINGSIDE, HIGH BRIDGE ROAD, ALVINGHAM, LOUTH, LN11 0QF",HIGH BRIDGE ROAD,ALVINGHAM,ALVINGHAM,LN11 0QF,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,4C1B673F-5124-D8EA-E063-4704A8C0BF7D,http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-5124-D8EA-E063-4704A8C0BF7D/current
2020-11-26,565000,"OAKLEY HOUSE, RECTORY ROAD, ANDERBY, SKEGNESS, PE24 5YF",RECTORY ROAD,ANDERBY,ANDERBY,PE24 5YF,PE24,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,no,portfolio_same_price_same_date,BA558B32-BAF1-76EF-E053-6B04A8C0B4B7,http://landregistry.data.gov.uk/data/ppi/transaction/BA558B32-BAF1-76EF-E053-6B04A8C0B4B7/current
2025-12-18,660000,"BELVERDENE, SANDY LANE, ANDERBY CREEK, SKEGNESS, PE24 5XX",SANDY LANE,ANDERBY CREEK,ANDERBY CREEK,PE24 5XX,PE24,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,49E87C32-1729-591C-E063-4704A8C00C31,http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-1729-591C-E063-4704A8C00C31/current
2021-11-19,550000,"THE BRIGG, ASHBY BY PARTNEY, SPILSBY, PE23 5RJ",,ASHBY BY PARTNEY,ASHBY BY PARTNEY,PE23 5RJ,PE23,A,Detached,no,freehold,EAST LINDSEY,spilsby_marsh,yes,yes,,D4D42645-EB1D-27F6-E053-6C04A8C0A572,http://landregistry.data.gov.uk/data/ppi/transaction/D4D42645-EB1D-27F6-E053-6C04A8C0A572/current
2018-10-24,4241839,"STAINSBY HOUSE, ASHBY PUERORUM, HORNCASTLE, LN9 6QU",,ASHBY PUERORUM,ASHBY PUERORUM,LN9 6QU,LN9,B,Other,no,freehold,EAST LINDSEY,horncastle_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,85866A65-99DB-143F-E053-6B04A8C06A15,http://landregistry.data.gov.uk/data/ppi/transaction/85866A65-99DB-143F-E053-6B04A8C06A15/current
2014-08-01,700000,"ASTERBY COTTAGE, GOULCEBY LANE, ASTERBY, LOUTH, LN11 9UX",GOULCEBY LANE,ASTERBY,ASTERBY,LN11 9UX,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,B36386E8-9F69-4591-9B84-7484944BA75B,http://landregistry.data.gov.uk/data/ppi/transaction/B36386E8-9F69-4591-9B84-7484944BA75B/current
2019-07-19,810000,"ASTERBY FARM, ASTERBY END, ASTERBY, LOUTH, LN11 9UF",ASTERBY END,ASTERBY,ASTERBY,LN11 9UF,LN11,B,Other,no,freehold,EAST LINDSEY,louth_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,8F1B26BE-94A5-53DB-E053-6C04A8C03649,http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BE-94A5-53DB-E053-6C04A8C03649/current
2018-06-15,1241000,"ASWARDBY HALL, ASWARDBY, SPILSBY, PE23 4JS",,ASWARDBY,ASWARDBY,PE23 4JS,PE23,B,Other,no,freehold,EAST LINDSEY,spilsby_marsh,yes,no,category_B_not_full_market_value; non_residential_type_O,773788C3-9028-2CE4-E053-6C04A8C05E57,http://landregistry.data.gov.uk/data/ppi/transaction/773788C3-9028-2CE4-E053-6C04A8C05E57/current
2022-09-07,645000,"THE LODGE, ASWARDBY, SPILSBY, PE23 4JS",,ASWARDBY,ASWARDBY,PE23 4JS,PE23,B,Other,no,freehold,EAST LINDSEY,spilsby_marsh,yes,no,category_B_not_full_market_value; non_residential_type_O,152AB734-817B-E651-E063-4704A8C061D9,http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-817B-E651-E063-4704A8C061D9/current
2021-12-17,650000,"THE OLD RECTORY, AUTHORPE, LOUTH, LN11 8PF",,AUTHORPE,AUTHORPE,LN11 8PF,LN11,B,Other,no,freehold,EAST LINDSEY,louth_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,E2D14906-73A0-4C2D-E053-6B04A8C0422B,http://landregistry.data.gov.uk/data/ppi/transaction/E2D14906-73A0-4C2D-E053-6B04A8C0422B/current
2024-07-05,1023000,"AUTHORPE HOUSE, AUTHORPE, LOUTH, LN11 8PE",,AUTHORPE,AUTHORPE,LN11 8PE,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,2131FCF6-2EB7-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-2EB7-86E8-E063-4804A8C0372B/current
2025-11-26,735000,"THE WOODLANDS, AUTHORPE, LOUTH, LN11 8PG",,AUTHORPE,AUTHORPE,LN11 8PG,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,4777E0AE-D8BB-5D59-E063-4804A8C09F8E,http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AE-D8BB-5D59-E063-4804A8C09F8E/current
2020-05-21,659000,"FERNDALE MANOR, BAG ENDERBY, SPILSBY, PE23 4NP",,BAG ENDERBY,BAG ENDERBY,PE23 4NP,PE23,B,Other,no,freehold,EAST LINDSEY,spilsby_marsh,yes,no,category_B_not_full_market_value; non_residential_type_O,AC07BBD0-B606-0445-E053-6C04A8C01E31,http://landregistry.data.gov.uk/data/ppi/transaction/AC07BBD0-B606-0445-E053-6C04A8C01E31/current
2024-10-23,550000,"HALL FARM, BAG ENDERBY, SPILSBY, PE23 4NP",,BAG ENDERBY,BAG ENDERBY,PE23 4NP,PE23,B,Other,no,freehold,EAST LINDSEY,spilsby_marsh,yes,no,category_B_not_full_market_value; non_residential_type_O,3B5CE842-97AC-EE3A-E063-4804A8C0D6F1,http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-97AC-EE3A-E063-4804A8C0D6F1/current
2011-11-17,725000,"BAUMBER HOUSE, BAUMBER, HORNCASTLE, LN9 5NF",,BAUMBER,BAUMBER,LN9 5NF,LN9,A,Detached,no,freehold,EAST LINDSEY,horncastle_wolds,yes,yes,,2A289E9E-7D1F-CDC8-E050-A8C063054829,http://landregistry.data.gov.uk/data/ppi/transaction/2A289E9E-7D1F-CDC8-E050-A8C063054829/current
2021-03-11,760000,"THE LIMES, BAUMBER, HORNCASTLE, LN9 5NE",,BAUMBER,BAUMBER,LN9 5NE,LN9,A,Detached,no,freehold,EAST LINDSEY,horncastle_wolds,yes,yes,,C6209F5F-7B2A-295E-E053-6C04A8C0DDCC,http://landregistry.data.gov.uk/data/ppi/transaction/C6209F5F-7B2A-295E-E053-6C04A8C0DDCC/current
2024-12-13,1050000,"THE LIMES, BAUMBER, HORNCASTLE, LN9 5NE",,BAUMBER,BAUMBER,LN9 5NE,LN9,B,Other,no,freehold,EAST LINDSEY,horncastle_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,402A3A66-C778-A7DF-E063-4804A8C0B80D,http://landregistry.data.gov.uk/data/ppi/transaction/402A3A66-C778-A7DF-E063-4804A8C0B80D/current
2014-10-01,2029000,"WOOD FARM, BEESBY, ALFORD, LN13 0DZ",,BEESBY,BEESBY,LN13 0DZ,LN13,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,4EF678A1-DD00-4F16-AF5F-60A5118C2F65,http://landregistry.data.gov.uk/data/ppi/transaction/4EF678A1-DD00-4F16-AF5F-60A5118C2F65/current
2017-09-29,1225000,"BEESBY HALL, PINFOLD LANE, BEESBY, ALFORD, LN13 0JG",PINFOLD LANE,BEESBY,BEESBY,LN13 0JG,LN13,B,Other,no,freehold,EAST LINDSEY,coastal_out,no,no,category_B_not_full_market_value; non_residential_type_O,5CF9903C-E61B-7F13-E053-6C04A8C074B1,http://landregistry.data.gov.uk/data/ppi/transaction/5CF9903C-E61B-7F13-E053-6C04A8C074B1/current
2022-04-26,885000,"RYEHILL FARM, MAIN ROAD, BELCHFORD, HORNCASTLE, LN9 6LJ",MAIN ROAD,BELCHFORD,BELCHFORD,LN9 6LJ,LN9,B,Other,no,freehold,EAST LINDSEY,horncastle_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,E7B085FD-39A6-7E31-E053-6C04A8C0E67F,http://landregistry.data.gov.uk/data/ppi/transaction/E7B085FD-39A6-7E31-E053-6C04A8C0E67F/current
2023-01-10,620000,"THE LEAS, CHAPEL LANE, BELCHFORD, HORNCASTLE, LN9 6LR",CHAPEL LANE,BELCHFORD,BELCHFORD,LN9 6LR,LN9,A,Detached,no,freehold,EAST LINDSEY,horncastle_wolds,yes,yes,,F5E8B081-71A4-3A13-E053-6C04A8C060B7,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B081-71A4-3A13-E053-6C04A8C060B7/current
2024-07-12,675000,"THE LEAS, CHAPEL LANE, BELCHFORD, HORNCASTLE, LN9 6LR",CHAPEL LANE,BELCHFORD,BELCHFORD,LN9 6LR,LN9,A,Detached,no,freehold,EAST LINDSEY,horncastle_wolds,yes,yes,,2131FCF6-2E8F-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-2E8F-86E8-E063-4804A8C0372B/current
2020-01-10,750000,"GLEBE FARM, CHURCH LANE, BENNIWORTH, MARKET RASEN, LN8 6JP",CHURCH LANE,BENNIWORTH,BENNIWORTH,LN8 6JP,LN8,B,Other,no,freehold,EAST LINDSEY,wolds_west,yes,no,category_B_not_full_market_value; non_residential_type_O,9DBAD222-A2B5-6EB3-E053-6B04A8C0F257,http://landregistry.data.gov.uk/data/ppi/transaction/9DBAD222-A2B5-6EB3-E053-6B04A8C0F257/current
2021-01-19,570000,"WEST BARN, BENNIWORTH, MARKET RASEN, LN8 6JS",,BENNIWORTH,BENNIWORTH,LN8 6JS,LN8,A,Detached,no,freehold,EAST LINDSEY,wolds_west,yes,yes,,BEF7EBBF-0469-7A76-E053-6B04A8C092F7,http://landregistry.data.gov.uk/data/ppi/transaction/BEF7EBBF-0469-7A76-E053-6B04A8C092F7/current
2022-11-18,600000,"MEADOW VIEW, BENNIWORTH, MARKET RASEN, LN8 6JH",,BENNIWORTH,BENNIWORTH,LN8 6JH,LN8,A,Detached,no,freehold,EAST LINDSEY,wolds_west,yes,yes,,EED73E75-C3AA-6AF3-E053-6C04A8C08ABA,http://landregistry.data.gov.uk/data/ppi/transaction/EED73E75-C3AA-6AF3-E053-6C04A8C08ABA/current
2022-11-25,610000,"TOP FARM, SILVER STREET, BENNIWORTH, MARKET RASEN, LN8 6JR",SILVER STREET,BENNIWORTH,BENNIWORTH,LN8 6JR,LN8,B,Other,no,freehold,EAST LINDSEY,wolds_west,yes,no,category_B_not_full_market_value; non_residential_type_O,F3B6C199-3BC0-6E40-E053-6C04A8C0B3B4,http://landregistry.data.gov.uk/data/ppi/transaction/F3B6C199-3BC0-6E40-E053-6C04A8C0B3B4/current
2025-03-27,567500,"ROEBUCK HOUSE, MEADOW LANE, BENNIWORTH, MARKET RASEN, LN8 6JJ",MEADOW LANE,BENNIWORTH,BENNIWORTH,LN8 6JJ,LN8,A,Detached,no,freehold,EAST LINDSEY,wolds_west,yes,yes,,34222872-7467-4D2B-E063-4704A8C07853,http://landregistry.data.gov.uk/data/ppi/transaction/34222872-7467-4D2B-E063-4704A8C07853/current
2011-07-22,610000,"BILSBY HALL, THURLBY ROAD, BILSBY, ALFORD, LN13 9PU",THURLBY ROAD,BILSBY,BILSBY,LN13 9PU,LN13,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,15C90581-E597-47F8-9D88-580D83158160,http://landregistry.data.gov.uk/data/ppi/transaction/15C90581-E597-47F8-9D88-580D83158160/current
2018-05-11,865000,"BILSBY HOUSE, ALFORD ROAD, BILSBY, ALFORD, LN13 9PY",ALFORD ROAD,BILSBY,BILSBY,LN13 9PY,LN13,B,Other,no,freehold,EAST LINDSEY,coastal_out,no,no,category_B_not_full_market_value; non_residential_type_O,7011B10A-327B-8ED6-E053-6B04A8C075C1,http://landregistry.data.gov.uk/data/ppi/transaction/7011B10A-327B-8ED6-E053-6B04A8C075C1/current
2021-03-02,7055170,"BURKINSHAWS TOP, LUDFORD ROAD, BINBROOK, MARKET RASEN, LN8 6DR",LUDFORD ROAD,BINBROOK,BINBROOK,LN8 6DR,LN8,B,Other,no,freehold,EAST LINDSEY,wolds_west,yes,no,category_B_not_full_market_value; non_residential_type_O; portfolio_same_price_same_date,CB0035E6-860E-58AE-E053-6B04A8C091AF,http://landregistry.data.gov.uk/data/ppi/transaction/CB0035E6-860E-58AE-E053-6B04A8C091AF/current
2021-03-02,7055170,"1, BINBROOK TOP COTTAGES, KIRMOND ROAD, BINBROOK, MARKET RASEN, LN8 6HY",KIRMOND ROAD,BINBROOK,BINBROOK,LN8 6HY,LN8,B,Other,no,freehold,EAST LINDSEY,wolds_west,yes,no,category_B_not_full_market_value; non_residential_type_O; portfolio_same_price_same_date,CB0035E6-860D-58AE-E053-6B04A8C091AF,http://landregistry.data.gov.uk/data/ppi/transaction/CB0035E6-860D-58AE-E053-6B04A8C091AF/current
2021-03-02,7055170,"BINBROOK TOPFARM, KIRMOND ROAD, BINBROOK, MARKET RASEN, LN8 6HY",KIRMOND ROAD,BINBROOK,BINBROOK,LN8 6HY,LN8,B,Other,no,freehold,EAST LINDSEY,wolds_west,yes,no,category_B_not_full_market_value; non_residential_type_O; portfolio_same_price_same_date,C3C3F9B6-AF4D-362B-E053-6B04A8C03ACC,http://landregistry.data.gov.uk/data/ppi/transaction/C3C3F9B6-AF4D-362B-E053-6B04A8C03ACC/current
2023-02-24,650000,"CHURCH HOUSE, ST MARYS LANE, BINBROOK, MARKET RASEN, LN8 6DL",ST MARYS LANE,BINBROOK,BINBROOK,LN8 6DL,LN8,A,Detached,no,freehold,EAST LINDSEY,wolds_west,yes,yes,,FAC30767-3C39-5E20-E053-4704A8C004EE,http://landregistry.data.gov.uk/data/ppi/transaction/FAC30767-3C39-5E20-E053-4704A8C004EE/current
2023-10-11,590000,"BINBROOK GRANGE, LUDFORD ROAD, BINBROOK, MARKET RASEN, LN8 6DR",LUDFORD ROAD,BINBROOK,BINBROOK,LN8 6DR,LN8,A,Detached,no,freehold,EAST LINDSEY,wolds_west,yes,yes,,0E082197-02F4-5C09-E063-4704A8C0A10E,http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-02F4-5C09-E063-4704A8C0A10E/current
2023-09-25,925000,"HAMPTON HOUSE, BRACKENBOROUGH, LOUTH, LN11 0SZ",,BRACKENBOROUGH,BRACKENBOROUGH,LN11 0SZ,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,0B853950-1921-69A5-E063-4704A8C07DAC,http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-1921-69A5-E063-4704A8C07DAC/current
2022-04-01,650000,"BRATOFT MANOR, SUMMER GATES LANE, BRATOFT, SKEGNESS, PE24 5BZ",SUMMER GATES LANE,BRATOFT,BRATOFT,PE24 5BZ,PE24,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,DE2D0CDF-DB58-51EE-E053-6C04A8C00671,http://landregistry.data.gov.uk/data/ppi/transaction/DE2D0CDF-DB58-51EE-E053-6C04A8C00671/current
2023-01-27,1035000,"ROSE COTTAGE, MOAT FARM, OXLANDS LANE, BRATOFT, SKEGNESS, PE24 5DB",OXLANDS LANE,BRATOFT,BRATOFT,PE24 5DB,PE24,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,F5E8B081-6D38-3A13-E053-6C04A8C060B7,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B081-6D38-3A13-E053-6C04A8C060B7/current
2018-12-12,925000,"THE MOAT HOUSE, BRINKHILL, LOUTH, LN11 8RA",,BRINKHILL,BRINKHILL,LN11 8RA,LN11,B,Other,no,freehold,EAST LINDSEY,louth_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,80E1AA99-0AFB-7BF8-E053-6C04A8C00BF2,http://landregistry.data.gov.uk/data/ppi/transaction/80E1AA99-0AFB-7BF8-E053-6C04A8C00BF2/current
2021-03-26,680000,"THE SHEPHERDS COTTAGE, BRINKHILL, LOUTH, LN11 8QY",,BRINKHILL,BRINKHILL,LN11 8QY,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,C6209F5F-786F-295E-E053-6C04A8C0DDCC,http://landregistry.data.gov.uk/data/ppi/transaction/C6209F5F-786F-295E-E053-6C04A8C0DDCC/current
2022-06-23,700000,"THE GRANGE, BRINKHILL, LOUTH, LN11 8QY",,BRINKHILL,BRINKHILL,LN11 8QY,LN11,B,Other,no,freehold,EAST LINDSEY,louth_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,EC7AD09A-A467-9200-E053-6C04A8C0E306,http://landregistry.data.gov.uk/data/ppi/transaction/EC7AD09A-A467-9200-E053-6C04A8C0E306/current
2022-06-30,750000,"SOUTH LODGE, BRINKHILL, LOUTH, LN11 8QY",,BRINKHILL,BRINKHILL,LN11 8QY,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,E7B085FC-658A-7E31-E053-6C04A8C0E67F,http://landregistry.data.gov.uk/data/ppi/transaction/E7B085FC-658A-7E31-E053-6C04A8C0E67F/current
2023-03-31,750000,"THE SHEPHERDS COTTAGE, BRINKHILL, LOUTH, LN11 8QY",,BRINKHILL,BRINKHILL,LN11 8QY,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,FD226035-F2C6-4CB7-E053-4804A8C00430,http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-F2C6-4CB7-E053-4804A8C00430/current
2024-04-25,1050000,"THE MOAT HOUSE, BRINKHILL, LOUTH, LN11 8RA",,BRINKHILL,BRINKHILL,LN11 8RA,LN11,B,Other,no,freehold,EAST LINDSEY,louth_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,237B17FE-DA77-22AC-E063-4804A8C0EA3A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FE-DA77-22AC-E063-4804A8C0EA3A/current
2024-07-16,629000,"HILL FARM, BRINKHILL, LOUTH, LN11 8RA",,BRINKHILL,BRINKHILL,LN11 8RA,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,2859C1AC-1941-52B4-E063-4804A8C05948,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-1941-52B4-E063-4804A8C05948/current
2018-03-14,625800,"GRANGE FARM, PLATTS LANE, BUCKNALL, WOODHALL SPA, LN10 5DY",PLATTS LANE,BUCKNALL,BUCKNALL,LN10 5DY,LN10,B,Other,no,freehold,EAST LINDSEY,woodhall_spa,yes,no,category_B_not_full_market_value; non_residential_type_O,6DA0844A-B948-30F2-E053-6B04A8C05F3B,http://landregistry.data.gov.uk/data/ppi/transaction/6DA0844A-B948-30F2-E053-6B04A8C05F3B/current
2021-06-28,580000,"ABBEY WARREN FARM, CAMPNEY LANE, BUCKNALL, WOODHALL SPA, LN10 5DX",CAMPNEY LANE,BUCKNALL,BUCKNALL,LN10 5DX,LN10,B,Other,no,freehold,EAST LINDSEY,woodhall_spa,yes,no,category_B_not_full_market_value; non_residential_type_O,DBA933FA-7930-669D-E053-6B04A8C0AD56,http://landregistry.data.gov.uk/data/ppi/transaction/DBA933FA-7930-669D-E053-6B04A8C0AD56/current
2023-03-27,617000,"WOODLAND VIEW, BUCKNALL, WOODHALL SPA, LN10 5EG",,BUCKNALL,BUCKNALL,LN10 5EG,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,FAC30767-3F49-5E20-E053-4704A8C004EE,http://landregistry.data.gov.uk/data/ppi/transaction/FAC30767-3F49-5E20-E053-4704A8C004EE/current
2016-05-20,645000,"LYNDHURST GARDEN CENTRE, SKEGNESS ROAD, BURGH LE MARSH, SKEGNESS, PE24 5AA",SKEGNESS ROAD,BURGH LE MARSH,BURGH LE MARSH,PE24 5AA,PE24,B,Other,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value; non_residential_type_O,369DFB16-859A-3A19-E050-A8C0620518C6,http://landregistry.data.gov.uk/data/ppi/transaction/369DFB16-859A-3A19-E050-A8C0620518C6/current
2020-12-10,685000,"THE LILACS, THE COMMON, BURGH LE MARSH, SKEGNESS, PE24 5HL",THE COMMON,BURGH LE MARSH,BURGH LE MARSH,PE24 5HL,PE24,B,Other,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value; non_residential_type_O,C3C3F9B6-AEF8-362B-E053-6B04A8C03ACC,http://landregistry.data.gov.uk/data/ppi/transaction/C3C3F9B6-AEF8-362B-E053-6B04A8C03ACC/current
2021-01-21,550000,"AUTUMN HOUSE, WAINFLEET ROAD, BURGH LE MARSH, SKEGNESS, PE24 5AH",WAINFLEET ROAD,BURGH LE MARSH,BURGH LE MARSH,PE24 5AH,PE24,A,Detached,no,freehold,EAST LINDSEY,town,no,yes,,BEF7EBBF-0573-7A76-E053-6B04A8C092F7,http://landregistry.data.gov.uk/data/ppi/transaction/BEF7EBBF-0573-7A76-E053-6B04A8C092F7/current
2022-01-21,680000,"LLOYDS FARM, BILLGATE LANE, BURGH LE MARSH, SKEGNESS, PE24 5AF",BILLGATE LANE,BURGH LE MARSH,BURGH LE MARSH,PE24 5AF,PE24,A,Detached,no,freehold,EAST LINDSEY,town,no,yes,,E073986B-6198-2134-E053-6C04A8C0233B,http://landregistry.data.gov.uk/data/ppi/transaction/E073986B-6198-2134-E053-6C04A8C0233B/current
2022-12-15,550000,"11, SPRINGFIELDS CLOSE, BURGH LE MARSH, SKEGNESS, PE24 5FR",SPRINGFIELDS CLOSE,BURGH LE MARSH,BURGH LE MARSH,PE24 5FR,PE24,A,Detached,yes,freehold,EAST LINDSEY,town,no,yes,,152AB733-EAF5-E651-E063-4704A8C061D9,http://landregistry.data.gov.uk/data/ppi/transaction/152AB733-EAF5-E651-E063-4704A8C061D9/current
2023-03-24,790000,"1, JOSEPHS CLOSE, BURGH LE MARSH, SKEGNESS, PE24 5FS",JOSEPHS CLOSE,BURGH LE MARSH,BURGH LE MARSH,PE24 5FS,PE24,A,Detached,yes,freehold,EAST LINDSEY,town,no,yes,,237B17FE-2497-22AC-E063-4804A8C0EA3A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FE-2497-22AC-E063-4804A8C0EA3A/current
2024-04-22,620000,"7, WILDSHED LANE, BURGH LE MARSH, SKEGNESS, PE24 5BW",WILDSHED LANE,BURGH LE MARSH,BURGH LE MARSH,PE24 5BW,PE24,A,Detached,no,freehold,EAST LINDSEY,town,no,yes,,237B17FE-2407-22AC-E063-4804A8C0EA3A,http://landregistry.data.gov.uk/data/ppi/transaction/237B17FE-2407-22AC-E063-4804A8C0EA3A/current
